ProductID,ProductName,Category,QuantityInStock,ReorderLevel,UnitPrice,LastUpdated,WarehouseLocation
P001,Wireless Mouse,Electronics,150,50,25.99,2023-10-25,A1-04
P002,Mechanical Keyboard,Electronics,45,20,89.50,2023-10-24,A1-05
P003,HDMI Cable 6ft,Accessories,300,100,12.00,2023-10-20,B2-10
P004,Ergonomic Office Chair,Furniture,12,5,199.99,2023-10-26,C1-01
P005,Standing Desk,Furniture,8,3,450.00,2023-10-26,C1-02
P006,USB-C Hub,Accessories,85,30,35.75,2023-10-22,B2-11
P007,Monitor 27-inch,Electronics,28,10,220.00,2023-10-25,A2-03
P008,Laptop Stand,Accessories,60,15,45.00,2023-10-21,B3-05
P009,Webcam 1080p,Electronics,40,10,59.99,2023-10-23,A2-04
P010,Desk Lamp,Lighting,95,25,22.50,2023-10-19,D1-08
P011,Noise Cancelling Headphones,Electronics,35,10,149.95,2023-10-25,A1-06
P012,Bluetooth Speaker,Electronics,55,15,65.00,2023-10-24,A1-07
P013,Office Stationery Set,Stationery,200,50,15.50,2023-10-15,E1-01
P014,External SSD 1TB,Storage,25,5,110.00,2023-10-26,F2-02
P015,Power Strip,Accessories,120,40,18.75,2023-10-18,B4-09